b'darnel32',2022-02-27 06:14:15+00:00,b'RT @pianolessonsM: #\xe8\x8a\xb1 #flower #flowers #gardening #nature #photo https://t.co/LsDjsVYeql'
b'NonnoDesignLabo',2022-02-27 06:11:15+00:00,b'\xe5\xa4\xa7\xe5\xa5\xbd\xe3\x81\x8d\xe3\x81\xaa\xe6\x98\xa5\xe3\x81\xae\xe8\x8a\xb1\xf0\x9f\x8c\xb8\n\xe5\x85\x88\xe6\x97\xa5\xe4\xbd\x9c\xe5\x93\x81\xe3\x81\xae\xe3\x82\xa2\xe3\x82\xa4\xe3\x83\x87\xe3\x82\xa2\xe3\x82\x92\xe8\x80\x83\xe3\x81\x88\xe3\x81\xaa\xe3\x81\x8c\xe3\x82\x89\xe8\xbf\x91\xe3\x81\x8f\xe3\x81\xae\xe5\x9c\x92\xe8\x8a\xb8\xe6\x96\xbd\xe8\xa8\xad\xe3\x81\xa7\xe6\x92\xae\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xf0\x9f\x8c\xbc\n\xe6\xb0\x97\xe6\x8c\x81\xe3\x81\xa1\xe3\x81\xae\xe8\x89\xaf\xe3\x81\x84\xe8\x89\xb2\xe5\x90\x88\xe3\x81\x84\xe3\x81\xa7\xe7\x99\x92\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99\xf0\x9f\x8e\xb5\n\n\xe6\x98\xa5\xe3\x82\x89\xe3\x81\x97\xe3\x81\x84\xe8\x89\xb2\xe3\x81\xae\xe5\x8f\x82\xe8\x80\x83\xe3\x81\xab\xe2\x9c\xa8\n\n#\xe8\x8a\xb1\xe3\x80\x80#\xe6\x98\xa5\xe3\x80\x80#\xe5\x86\x99\xe7\x9c\x9f\xe5\xa5\xbd\xe3\x81\x8d\xe3\x81\xaa\xe4\xba\xba\xe3\x81\xa8\xe7\xb9\x8b\xe3\x81\x8c\xe3\x82\x8a\xe3\x81\x9f\xe3\x81\x84 \n#Flower #\xe3\x83\x87\xe3\x82\xb6\xe3\x82\xa4\xe3\x83\x8a\xe3\x83\xbc\xe3\x81\xa8\xe7\xb9\x8b\xe3\x81\x8c\xe3\x82\x8a\xe3\x81\x9f\xe3\x81\x84 https://t.co/ImY1VpjvEN'
b'CaLandBird',2022-02-27 06:10:10+00:00,"b""RT @CandaceSotela: Poppin' poppy. \xf0\x9f\xa7\xa1 #flower #garden #flowerhunting https://t.co/fW86bVQj3K"""
b'akiofan9191',2022-02-27 06:04:41+00:00,b'RT @zenshiraw1816: \xe8\xb6\x8a\xe5\x89\x8d\xe6\xb0\xb4\xe4\xbb\x99\n\n#\xe5\x86\x99\xe7\x9c\x9f\xe3\x81\xae\xe5\xa5\x8f\xe3\x81\xa7\xe3\x82\x8b\xe7\xa7\x81\xe3\x81\xae\xe4\xb8\x96\xe7\x95\x8c #\xe5\x86\x99\xe7\x9c\x9f\xe6\x92\xae\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x8b\xe4\xba\xba\xe3\x81\xa8\xe7\xb9\x8b\xe3\x81\x8c\xe3\x82\x8a\xe3\x81\x9f\xe3\x81\x84 #\xe5\x86\x99\xe7\x9c\x9f\xe5\xa5\xbd\xe3\x81\x8d\xe3\x81\xaa\xe4\xba\xba\xe3\x81\xa8\xe7\xb9\x8b\xe3\x81\x8c\xe3\x82\x8a\xe3\x81\x9f\xe3\x81\x84 #\xe6\x9d\xb1\xe4\xba\xac\xe3\x82\xab\xe3\x83\xa1\xe3\x83\xa9\xe9\x83\xa8 #\xe3\x82\xad\xe3\x83\xaa\xe3\x83\x88\xe3\x83\xaa\xe3\x82\xbb\xe3\x82\xab\xe3\x82\xa4 #\xe3\x83\x95\xe3\x82\xa1\xe3\x82\xa4\xe3\x83\xb3\xe3\x83\x80\xe3\x83\xbc\xe8\xb6\x8a\xe3\x81\x97\xe3\x81\xae\xe7\xa7\x81\xe3\x81\xae\xe4\xb8\x96\xe7\x95\x8c #flower #flowers https://t.co/nNJL4te2yR'
b'hanafukei',2022-02-27 06:04:03+00:00,b'\xe6\xa2\x85\xe3\x80\x80\xe6\x92\xae\xe5\xbd\xb1\xe5\x9c\xb0\xef\xbc\x9a\xe6\x9d\xb1\xe4\xba\xac\xe9\x83\xbd\xe3\x80\x80\xe5\x90\x89\xe9\x87\x8e\xe6\xa2\x85\xe9\x83\xb7\xe3\x80\x80#flower #PlumBlossoms #\xe8\x8a\xb1 #\xe6\xa2\x85 https://t.co/KwSs3mgURw'
b'MagyckMoon',2022-02-27 06:03:43+00:00,b'RT @Rachael67947693: Cambridge spring flowers \xf0\x9f\x98\x83 so pretty #flower #garden #nature https://t.co/85LtRcyWfi'
b'DavidSevern7',2022-02-27 06:03:04+00:00,"b""RT @CandaceSotela: Poppin' poppy. \xf0\x9f\xa7\xa1 #flower #garden #flowerhunting https://t.co/fW86bVQj3K"""
b'malinee34667365',2022-02-27 06:02:48+00:00,b'RT @Kristal38922455: #flowerpower #gardening #nature #flower #photographylovers \xf0\x9f\x92\x9e\xf0\x9f\x92\x9e\xf0\x9f\x92\x9e https://t.co/oYvfkEftIj'
b'BandaChai',2022-02-27 06:02:27+00:00,b'\xe0\xa4\xae\xe0\xa4\xa8\xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xb9\xe0\xa4\xa8 \xe0\xa4\xb8\xe0\xa4\xbf\xe0\xa4\x82\xe0\xa4\x98 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xa4\xe0\xa4\xb0\xe0\xa4\xb9 #Flower \xe0\xa4\xb8\xe0\xa4\xae\xe0\xa4\x9d\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe ?\n#Fire \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80 \xe0\xa4\x9c\xe0\xa5\x80 \xf0\x9f\x94\xa5\xf0\x9f\x92\xaa\n\n#ModiHaiToMumkinHai \n#ModiSaveIndianStudents https://t.co/1YdIwjc1kz'
b'oni3543',2022-02-27 06:01:06+00:00,b'RT @Rachael67947693: Cambridge spring flowers \xf0\x9f\x98\x83 so pretty #flower #garden #nature https://t.co/85LtRcyWfi'
